CMCSA,CMCSK
23.6,23.41
23.56,23.3
23.94,23.66
23.42,23.17
23.78,23.51
23.54,23.24
23.57,23.23
24.33,23.94
24.67,24.28
24.21,23.85
24.8,24.34
24.59,24.12
23.85,23.33
23.45,23
22.98,22.66
23.02,22.75
23.32,23.06
22.75,22.43
22.65,22.37
22.76,22.48
21.61,21.38
22.17,22
22.52,22.3
22.21,21.97
22.3,22.15
21.51,21.32
21.25,21.08
21.43,21.21
21.52,21.28
21.39,21.19
21.07,20.89
21,20.81
21.75,21.49
21.75,21.56
22.67,22.36
22.57,22.38
23.36,23.19
23.15,22.92
23.19,22.96
23.13,23
22.47,22.27
22.68,22.54
23.27,23.09
23.19,23.04
23.18,22.99
23.29,23.07
23.33,23.15
22.87,22.71
23.4,23.25
23.59,23.44
23.63,23.45
23.84,23.61
23.8,23.6
23.46,23.3
23.83,23.66
23.71,23.56
24.5,24.21
24.73,24.3
24.95,24.52
24.69,24.3
25.21,24.8
25.4,24.89
25.42,24.89
25.5,25
25.38,24.82
25.54,24.95
25.72,25.15
25.87,25.23
26.07,25.38
25.93,25.4
25.86,25.2
26.12,25.15
26.31,25.3
26.33,25.26
26.36,25.35
26.58,25.51
26.85,25.69
26.69,25.49
27.15,25.96
27.09,25.91
27.09,25.85
27.25,26.03
27.46,26.3
27.18,26.09
27.41,26.25
27.25,26.15
28.52,27.57
28.65,27.79
29.17,28.39
29.07,28.25
29.28,28.43
29.81,28.88
29.19,28.31
29.19,28.28
29.37,28.55
29.41,28.59
29.45,28.71
29.24,28.57
29.1,28.58
28.92,28.35
29.24,28.73
29.62,29.11
29.84,29.33
29.61,29.08
30.04,29.5
29.79,29.24
29.8,29.21
29.5,29.01
29.86,29.34
29.77,29.32
29.71,29.3
29.89,29.48
29.99,29.57
30.35,29.91
30.17,29.83
29.92,29.59
29.83,29.46
30.01,29.51
30.05,29.61
29.66,29.26
29.32,28.91
29.56,29.11
29.33,28.97
28.65,28.32
28.98,28.59
29.68,29.18
29.5,29.17
29.77,29.37
30.09,29.67
29.86,29.5
29.48,29.15
29.45,29.1
29.04,28.76
29.35,28.93
29.65,29.24
30.24,29.76
30.28,29.82
30.35,29.83
30.6,30.08
30.42,29.97
30.36,29.96
29.45,29.21
29.63,29.39
29.4,29.09
29.17,28.85
29.63,29.17
29.38,29.02
28.89,28.64
28.85,28.47
28.85,28.46
28.35,28.03
28.28,27.99
28.71,28.43
28.94,28.6
28.79,28.54
28.93,28.64
28.85,28.63
29.22,28.95
28.95,28.74
28.91,28.72
28.63,28.4
28.95,28.56
29.03,28.59
29.76,29.26
30.01,29.53
30.27,29.76
29.94,29.56
30.45,29.95
29.98,29.52
30.71,30.17
31.09,30.5
31.16,30.59
31.31,30.78
31.19,30.69
30.68,30.28
30.83,30.47
30.33,29.94
30.58,30.17
31.04,30.53
31.04,30.59
31.97,31.4
32.26,31.65
32.03,31.44
31.45,30.93
31.36,30.85
31.27,30.76
31.35,30.81
31.73,31.14
31.1,30.64
31.87,31.36
31.83,31.38
32.33,31.79
32.39,31.83
32.38,31.91
32.18,31.73
31.37,31
31.4,30.97
31.36,30.9
31.61,31.17
32.29,31.7
32.21,31.66
32.55,31.93
33.55,32.83
34.12,33.28
34.61,33.67
34.94,34.03
34.55,33.79
34.51,33.78
34.55,33.83
34.73,33.97
34.55,33.84
34.36,33.67
34.19,33.25
34.14,33.24
34.02,33.04
33.9,33.14
34.04,33.13
33.97,33.07
33.95,32.98
33.95,33.04
33.97,33.03
33.95,32.97
33.95,33.04
33.63,32.83
33.53,32.87
33.53,32.78
33.71,32.97
34.65,33.73
34.46,33.6
34.17,33.4
34.27,33.51
34.59,33.8
35.25,34.42
35.3,34.45
35.06,34.24
34.85,33.96
35.38,34.42
35.95,34.9
36.22,35.11
36.43,35.37
35.86,34.9
35.12,34.19
35.79,34.78
35.74,34.81
35.38,34.44
35.84,34.78
36.2,35.05
36.5,35.32
36.54,35.46
36.21,35.22
35.32,34.41
35.16,34.28
35.13,34.33
35.78,34.93
36.43,35.42
36.67,35.72
37.12,36.12
37.29,36.31
36.95,36.03
37.03,36.14
36.43,35.55
36.42,35.5
36.36,35.51
37.56,36.51
37.53,36.44
37.55,36.41
37.61,36.46
37.43,36.25
37.17,36.12
36.58,35.5
36.2,35.2
36.12,35.1
36.17,35.11
36.11,35.03
35.4,34.43
35.14,34.2
35.45,34.49
36.01,35.07
36.56,35.56
36.49,35.51
36.91,35.81
36.63,35.59
36.29,35.31
36.66,35.61
36.86,35.7
37.2,36.04
37.08,35.95
37.2,36.04
36.88,35.78
37.14,35.99
37.03,35.96
37.25,36.07
37.4,36.23
37.42,36.17
36.94,35.78
36.54,35.36
37.54,36.24
38.05,36.66
38.01,36.66
38.09,36.64
37.23,35.87
37.36,36
37.3,35.88
36.99,35.64
36.54,35.21
37.36,35.92
38.52,36.95
38.09,36.55
38.07,36.63
37.9,36.45
38.16,36.61
38.42,36.91
38.5,36.96
38.46,36.96
38.92,37.4
39.2,37.71
39.18,37.66
39.95,38.48
40.27,38.67
39.81,38.3
40,38.39
39.58,38.11
39.76,38.31
39.57,38.22
39.11,37.79
39.03,37.62
38.08,36.73
38.6,37.21
38.19,36.92
39.24,37.77
38.73,37.38
38.62,37.25
38.75,37.35
38.64,37.25
38.97,37.58
40.13,38.45
40.34,38.61
41.24,39.41
41.45,39.34
40.95,38.56
40.08,37.88
39.91,37.82
39.41,37.74
39.69,37.89
40.15,38.38
39.79,38.25
40.03,38.38
40.38,38.58
40.95,39
40.85,39.02
40.62,38.89
41,38.99
41.13,39.09
40.72,38.77
40.59,38.72
41.16,39.02
40.71,38.67
40.37,38.36
40.13,38.08
40.98,38.94
